ccode,year,UCDP_Civil_conflict_0_1_2,polity,GDP_per_capita_ln,GDP_growth,population_size,trade,ethnic_diversity,national_capacity,government,congress,ucdp_neighbor_confilctnumber
2,1962,0.0,9.0,8.026222749,0.023,0.314048603,0.089382075,0.262,0.21065485,3.0,7.0,0.0
2,1963,0.0,9.0,8.082406305,0.061,0.312912203,0.089347365,0.265,0.20991142,3.0,7.0,0.0
2,1964,0.0,9.0,8.121887241,0.044,0.311112607,0.089615779,0.268,0.20796648,3.0,7.0,0.0
2,1965,0.0,9.0,8.179287969,0.058,0.309336436,0.092065478,0.271,0.20298257,3.0,7.0,0.0
2,1966,0.0,9.0,8.247819363,0.064,0.307041264,0.092366713,0.275,0.2015391,3.0,7.0,0.0
2,1967,0.0,9.0,8.327800685,0.065,0.303892584,0.095785186,0.278,0.20866945,3.0,7.0,0.0
2,1968,0.0,8.0,8.372620346,0.025,0.299884467,0.096869294,0.281,0.20854811,3.0,7.0,0.0
2,1969,0.0,8.0,8.45224678,0.048,0.295227095,0.100316565,0.285,0.20341188,3.0,7.0,0.0
2,1970,0.0,8.0,8.521384035,0.031,0.290333488,0.100555624,0.289,0.19795081,3.0,7.0,0.0
2,1971,0.0,8.0,8.563178791,0.002166065,0.285510237,0.107582854,0.292,0.18096918,3.0,7.0,0.0
2,1972,0.0,8.0,8.632374196,0.032927225,0.280196796,0.10757179,0.296,0.16995624,3.0,7.0,0.0
2,1973,0.0,8.0,8.715226994,0.05255502,0.273695029,0.113406196,0.3,0.16474316,3.0,7.0,0.0
2,1974,0.0,8.0,8.813937917,0.056456798,0.266364837,0.130792156,0.304,0.15881944,3.0,7.0,0.0
2,1975,0.0,10.0,8.885536584,-0.005405502,0.258925345,0.164449863,0.308,0.15269861,3.0,7.0,0.0
2,1976,0.0,10.0,8.96219392,-0.002056192,0.251633391,0.155163736,0.312,0.14394777,3.0,7.0,0.0
2,1977,0.0,10.0,9.058732702,0.053880339,0.244483731,0.160488456,0.316,0.14246269,3.0,7.0,0.0
2,1978,0.0,10.0,9.154148417,0.046241865,0.238031998,0.164178947,0.32,0.14182441,3.0,7.0,0.0
2,1979,0.0,10.0,9.265391677,0.055352065,0.232469503,0.169728342,0.325,0.13967438,3.0,7.0,0.0
2,1980,0.0,10.0,9.36522066,0.031659882,0.227657238,0.183761632,0.329,0.13721611,3.0,7.0,0.0
2,1981,0.0,10.0,9.439528936,-0.002567757,0.223992225,0.201098447,0.334,0.13311459,3.0,7.0,0.0
2,1982,0.0,10.0,9.545175941,0.025377013,0.221491726,0.194259132,0.338,0.13800748,3.0,7.0,0.0
2,1983,0.0,10.0,9.577396387,-0.018030138,0.21977883,0.175368123,0.343,0.1295889,3.0,7.0,0.0
2,1984,0.0,10.0,9.651487486,0.04583791,0.218397269,0.166655935,0.348,0.1329419,3.0,7.0,0.0
2,1985,0.0,10.0,9.748132634,0.072364532,0.216893633,0.175224074,0.353,0.13559404,3.0,7.0,0.0
2,1986,0.0,10.0,9.811253163,0.041695753,0.215089539,0.166039061,0.358,0.13731457,3.0,7.0,0.0
2,1987,0.0,10.0,9.855988482,0.034626551,0.213491267,0.168979772,0.363,0.13528731,3.0,7.0,0.0
2,1988,0.0,10.0,9.905482616,0.034546297,0.212954235,0.17973581,0.368,0.13402919,3.0,7.0,0.0
2,1989,0.0,10.0,9.971987526,0.041769824,0.213499482,0.190701007,0.373,0.13446887,3.0,7.0,0.0
2,1990,0.0,10.0,10.0370632,0.036722378,0.214579815,0.194151107,0.378,0.14823866,3.0,7.0,0.0
2,1991,0.0,10.0,10.0811985,0.018859656,0.215741825,0.198150674,0.384,0.14125326,3.0,7.0,0.0
2,1992,0.0,10.0,10.10001025,-0.001083129,0.217085535,0.197864481,0.389,0.13713777,3.0,7.0,0.0
2,1993,0.0,10.0,10.14329118,0.035224972,0.218228025,0.199505945,0.395,0.14824486,3.0,7.0,0.0
2,1994,0.0,10.0,10.18067577,0.027517959,0.218733782,0.200446187,0.4,0.15345162,3.0,7.0,0.0
2,1995,0.0,10.0,10.22903798,0.040290227,0.218655934,0.210554592,0.406,0.14568017,3.0,7.0,1.0
